Handle,Display Name,DID,Follows Me
soundlessaolcom.bsky.social,Deb from GA 💙🌊💙,did:plc:epq6byajd4fvuv5gpacia2l7,True,2024-11-18 15:52:32.248233+00:00
tyranthater.bsky.social,TruthToPower,did:plc:wvwpuprgvu6gke6u4r4ldugp,True,2024-11-18 15:52:32.248234+00:00
brifal13.bsky.social,Brian Fallon ,did:plc:rtzlahwdmp45w5q3redifeo7,True,2024-11-18 15:52:32.248235+00:00
resist2025.bsky.social,RandyResist,did:plc:wyonypnkmaqvqbfhotdchpri,True,2024-11-18 15:52:32.248236+00:00
sharonann.bsky.social,Sharon,did:plc:nmcyjrb5bqpccbwyci4zbx6t,True,2024-11-18 15:52:32.248237+00:00
justice54.bsky.social,Justice 54,did:plc:kni3xxl664v5sv7qwy6ayjus,True,2024-11-18 15:52:32.248238+00:00
nanarocks.bsky.social,LindaFromIL,did:plc:l7s2uqc2vqfwzf6sgzjrvowf,True,2024-11-18 15:52:32.248240+00:00
jummar.bsky.social,Jummar,did:plc:aqtayfw7ds3bvr3544cwunpe,True,2024-11-18 15:52:32.248241+00:00
bouncingtazzie.bsky.social,Tazzie Belle,did:plc:uuaeotvfnwdz6uq7aw3yxshj,True,2024-11-18 15:52:32.248242+00:00
wtaf25.bsky.social,Gina Lollobrigida 💙💙💙,did:plc:ylejz2uro6n4hly3czuxhvig,True,2024-11-18 15:52:32.248243+00:00
aquaryte.bsky.social,aquaryte💥,did:plc:xsgjp5zioi7t4w76teqksa5u,True,2024-11-18 15:52:32.248244+00:00
trummo.bsky.social,Tony Rummo,did:plc:nhtueh6jqrsd7w3oep5kd35u,True,2024-11-18 15:52:32.248245+00:00
tracy1499.bsky.social,Tracy,did:plc:bici5inuwjojnczvpfhe4kki,True,2024-11-18 15:52:32.248246+00:00
andrewmceo.bsky.social,Andrew M_CEO 🇺🇸 🇬🇷,did:plc:szb2trl37bymn5rstoa3v5wl,True,2024-11-18 15:52:32.248247+00:00
maga-focker.bsky.social,MAGA Focker,did:plc:uxlwn267y3o5bppge5t5bnjr,True,2024-11-18 15:52:32.248249+00:00
willyishly2.bsky.social,,did:plc:wo537dylbe23klbexwt5ynjx,True,2024-11-18 15:52:32.248250+00:00
douglasreber.bsky.social,,did:plc:avozzovv5fgdmofru5nte4cf,True,2024-11-18 15:52:32.248287+00:00
voteblueyes.bsky.social,Brandon Mac,did:plc:j4n2ctwskmf24ddppxx3xqvm,True,2024-11-18 15:52:32.248296+00:00
peepmomma.bsky.social,PeepMomma,did:plc:ew25a4dibelotyauto7abtqc,True,2024-11-18 15:52:32.248299+00:00
bf-rochester.bsky.social,Bill in Rochester,did:plc:lubm2f2u7x6brdjphaspt4oe,True,2024-11-18 15:52:32.248301+00:00
lisagauvreau.bsky.social,Lisa Gauvreau,did:plc:5ahefyrjsion3in7uyclshmm,True,2024-11-18 15:52:32.248303+00:00
ezrider.bsky.social,EZ Rider,did:plc:le6iee5rs4q5xovmdrjz3ccd,True,2024-11-18 15:52:32.248308+00:00
suzyqfit4u.bsky.social,SuzyQ,did:plc:2i2iy5ve4exw3nvyreimq2pk,True,2024-11-18 15:52:32.248310+00:00
prideofbeinggay.bsky.social,,did:plc:blqq4mxzsy2dvu67cihfteu4,True,2024-11-18 15:52:32.248312+00:00
funmagamemes.bsky.social,Fun MAGA Memes,did:plc:i6prekioon3y734azy3bdslf,True,2024-11-18 15:52:32.248314+00:00
loopedlenses.bsky.social,LoopedLenses,did:plc:6zvnd7zu54ty4vjm7m4vhbt4,True,2024-11-18 15:52:32.248316+00:00
evanolsen.bsky.social,EvanOlsen,did:plc:rpahaucaoblyztfhivjnrymj,True,2024-11-18 15:52:32.248318+00:00
futwitter.bsky.social,Fred,did:plc:pe6kczjzkheb2w2f2wiqyac7,True,2024-11-18 15:52:32.248321+00:00
fondantonfriday.bsky.social,Ms Fondant To You,did:plc:xgjipgc6zoj3cccqrxe5ajoa,True,2024-11-18 15:52:32.248323+00:00
dbwernli.bsky.social,MoSpresso🦋💙🏳️‍🌈🇺🇦,did:plc:xqdq3s67nkqbm7ma6njx6nmg,True,2024-11-18 15:52:32.248326+00:00
ladodgers4life.bsky.social,Dodgerfan4life,did:plc:wz2fewfqf7vz7oymfetiewsu,True,2024-11-18 15:52:32.248328+00:00
chrissydv.bsky.social,Chrissy,did:plc:5tsrzqtduubmec454uswgkw7,True,2024-11-18 15:52:32.248330+00:00
