Handle,Display Name,DID,Follows Me
constancecraven.bsky.social,Constance Craven,did:plc:2qt3n5e2a6ecsucnmh6fqcwn,True
twagz20.bsky.social,Tim Wager,did:plc:ozs6hkvcmar6h2vt26arix4f,True
pkolbenschlag.bsky.social,Reluctant Navigator,did:plc:b2oxqnhs4zlcedosodmulseg,True
reeveselonmusky.bsky.social,Reeves,did:plc:b4x4xjbppezqiitalgtbilzk,True
critcalthinker.bsky.social,Critical Thinker,did:plc:y6tzc5yjribpwfvmx3mhleay,True
jtowlen.bsky.social,jtowlen,did:plc:7b6dyifsalerdbhy62fml576,True
skivoodoo.bsky.social,,did:plc:v7zdf7uuiepr23zg7oren6mg,True
vikingfisher.bsky.social,Vikingfisher,did:plc:viziagwywh6qx42s2ut5bssp,True
mizzoutequilla.bsky.social,,did:plc:qljp5tucjson5zosmnan3lzr,True
shediablo.bsky.social,SheDiablo 💙,did:plc:v6bjm4olykvuagmy6nj5oywf,True
rdl8192boyz.bsky.social,Renae Freedom,did:plc:r6hidqbdwqo65aem6rz2et7p,True
generally-speaking.bsky.social,,did:plc:4cjvuwxrcbkyjmd2a3scslpw,True
msderohanes.bsky.social,M,did:plc:ym5leylvmnn42eflhyutohqo,True
kerriem.bsky.social,Kerrie,did:plc:6kce7eov3aa62j43h3utlh65,True
c4-susie.bsky.social,,did:plc:qjnrk2ltih2ojcvog5usdbtu,True
dogtrain.bsky.social,,did:plc:q7sxizqcsfvgtju5p72sralb,True
comounjet.bsky.social,Silvia,did:plc:ycpgvg4tzgjsauvchxhu7wcb,True
moos-at-eleven.bsky.social,Moos at Eleven,did:plc:em2gw4mselmru5ittxdogq2v,True
hanamaori.bsky.social,Hana,did:plc:jp24plapzbydwg5skoeqciz4,True
sarahrocks.bsky.social,Sarah 🌹,did:plc:qxtqwv6lwwkg5g3r3maamctt,True
ladyjustice28.bsky.social,LadyJustice28,did:plc:l4fv32q2ziw5ssf5ty6ig7yi,True
sendsunflowers.bsky.social,Unplanned Adventures  ,did:plc:xhxcje4aawa74rs4wd6hh47y,True
vegangta.bsky.social,,did:plc:wo2xdvez4v7g7px6wpnwtmbb,True
arkythoughts.bsky.social,Ceallach,did:plc:bbwmqm55pfzbca3fuuudg6m7,True
papagnome.bsky.social,Papagnome,did:plc:wltzygxzskwezmxrfrjozslo,True
littlemissmonica.bsky.social,Moh-nih-kah,did:plc:uizy3pwlhwdwih5okmlezt2b,True
