Handle,Display Name,DID,Follows Me
generalpatton22.bsky.social,@charlespattonbooks.com,did:plc:om5xjjhri4dw3llhk5afbejq,True
svas57.bsky.social,,did:plc:fmi7vr2zeyxvnxi2sa2a6pdj,True
truckagent.bsky.social,Michael Alex,did:plc:bxrtddekobdxr7i6evy26jzk,True
johnpresta.bsky.social,John Presta,did:plc:unjc5syq2afizw7vtehv5gwi,True
robertwashington.bsky.social,Robert Washington,did:plc:wil7ovyytcgtw5xmzxwl4xb7,True
mohammednasergaza.bsky.social,mohmmed-in-Gaza🍉🇵🇸,did:plc:povqk3pbrso4zfzsm5q3doka,True
criminalrecords.bsky.social,County Criminal Records,did:plc:nxpy7ifjagqxk5aahmo3osxy,True
paulszaszsebes.bsky.social,,did:plc:53xsmuxonpgmer4fnfqkmjnd,True
oopipip.bsky.social,oopipip,did:plc:5ly44k4rg6sxeglxav3qjihi,True
ma7moudiyad.bsky.social,Mahmoud hamam,did:plc:pxhoaep6e4axt76z4ev73zh3,True
azharulislam.bsky.social,FlickerFeline,did:plc:qwammxulqq6dum6wfiqygxsn,True
thefactsmatter.bsky.social,Riff2112,did:plc:yp5e3ftah27nfgoghc5zzhzx,True
sonicsirens.bsky.social,r&b sirens,did:plc:rcbpejr6suqsth56chfybzzi,True
5om.bsky.social,rose petason,did:plc:k2qyadhmbseycbrqkejcv6uk,True
billy-thoughts.bsky.social,Billy,did:plc:adb7ganzonpsaabeyrhwhcvm,True
bluetothebone70.bsky.social,,did:plc:m4r7o6orzkgihpiysg3jptq4,True
zale1.bsky.social,,did:plc:kakwtozq76n5utnt6cwcv36b,True
richardlerma.bsky.social,RichardLerma,did:plc:vrpoe4nbkikeccjgu5qb6ksd,True
mendy2710.bsky.social,Spendy Mendy,did:plc:i2mite74ryxkp7ka47picsnh,True
njcatlady.bsky.social,,did:plc:ruwjqdx5bwjlu2svkeirir7t,True
muwaya.bsky.social,Muwaya,did:plc:hlxexegzee4x6pvbofrngima,True
stnshn.bsky.social,Tim S.,did:plc:h63nnzuc5fpsugns2gkwjbrp,True
theathar.bsky.social,Sofia Ali PTI,did:plc:my3oestili6zw2ekz6bwbrcf,True
rcrumbwarehouse.bsky.social,R Crumb Warehouswe,did:plc:wmlew7mm2ai2dtpgv4ctmoyv,True
jer1190.bsky.social,Jeremy,did:plc:xitid3ydmkfbpat3s3cktsoj,True
carlwilliams0.bsky.social,Carl williams,did:plc:jod5rjpaj53a3hbqsrcrxl4w,True
real2024life.bsky.social,普通の生活が一番,did:plc:hlgbl7yyzoo2ayeudachyshf,True
the-democrats.bsky.social,The Democrats,did:plc:pxizitd7bafehhi6e5lnffiv,True
jameswilliams2869.bsky.social,James Williams,did:plc:a4uus2jlubypcmjor57e67fy,True
fourshiggity.bsky.social,FourShiggity,did:plc:gin5sfqi64m4jirwxx4wkp54,True
john-perfect.bsky.social,John Perfect,did:plc:osjk6ea32gvr6dru5inpxumu,True
annaswallows.bsky.social,Anna Swallows 🦋,did:plc:kw7gw2cty2oqgcemzdswu265,True
niubobuxsi.bsky.social,Freya,did:plc:rapb3atvifqt5ditwukfzz3r,True
dryasirahmad.bsky.social,,did:plc:pzva33usps7p5xhcp7eer3do,True
gayoupinton.bsky.social,Lucy,did:plc:7lutqkxozwabtmqmq4kisjc7,True
veronicasanchez0.bsky.social,Veronica,did:plc:jximaxjtgqs346nnbvmyadqu,True
u2savesme.bsky.social,,did:plc:gfthgodjzjpevtbmklkskgxx,True
purplett.bsky.social,🪻Tiffany C,did:plc:fzhvu5k5evjosp3ou23plrc6,True
philadelphiagun.bsky.social,Philadelphia John Brown Gun Club,did:plc:wluma3pc6kgcep6adjpjm4uk,True
rainwater14.bsky.social,Rainwater,did:plc:cob424rjgo2prhb5xqchlojt,True
funhouseradio.bsky.social,FunHouse Radio,did:plc:qejvwknasd4owgickhi45fgz,True
di-fromx.bsky.social,Diane💙,did:plc:gscx3idazf6nalnmvckmlxhx,True
kellyt64.bsky.social,Kelly T 👋 🇺🇸🇺🇦🇳🇮,did:plc:zthcljtbeqsibotgoxyizlpi,True
markfry.bsky.social,Markfry🍁,did:plc:5tajthsael7yw6j7pjd6lbzw,True
burningpounds.bsky.social,Fitness / Nutrition,did:plc:s2wanktsgbob4ax45kssbvqh,True
omarfadila.bsky.social,Omar Fadila,did:plc:ze2rv4clygxevbfdfsuizoqb,True
pcgvr.org,Philadelphia Center for Gun Violence Reporting,did:plc:y73aherrvh76qhm5e65ju3uv,True
handle.invalid,IM TERRIBLE AT BLUESKY,did:plc:33oxofzlwiqj5myrfemehsoi,True
joyross.bsky.social,,did:plc:6rkant5x4hyp2vbdad6mqwda,True
olivialuck.bsky.social,Olivia ,did:plc:v2z6yg4xcyerdszskshhpze5,True
daven2.bsky.social,,did:plc:7baqt54bwljllafizpttzd2l,True
jakeforchange.bsky.social,jake,did:plc:edoleffm77vyb52ktq6qbnhy,True
inaseemshah.bsky.social,Naseem Shah,did:plc:romlp4yty4b74hqfgrgfop3t,True
bellakensington.bsky.social,Bella Kensington,did:plc:pegyg57tuwaoujuvscwigxif,True
sandyjsummers.bsky.social,SandyJSummers,did:plc:qtuuiurs7z64bisee3sv5ha7,True
laneyz.bsky.social,Lan🐢🇺🇸,did:plc:hsy6vq3ipal4wa5udkqhhvst,True
lilatheofficial.bsky.social,Lil A 🥥 🌴 💙,did:plc:xm72xzatody3bgwebknbdkj6,True
stevenroyfitness.bsky.social,"Steven Roy, ACC",did:plc:hotbxa3eu3wn3b63vla276r4,True
therainbownavy.bsky.social,Democrat LGBTQ+ Resistance 🏳️‍🌈🏳️‍⚧️👬👭🌊💙,did:plc:lavhgkaq5fxv2e3x7wfjpmls,True
wildflourskitchen.bsky.social,WildfloursKitchen,did:plc:h2xgujjuk2qfzzlehwtycgm7,True
gopcrimes.bsky.social,Republican Crimes Tracker,did:plc:x262uru57zf5gbuevrxmkjno,True
robinraven.bsky.social,Robin Raven,did:plc:zpkbcfsrrybrkmdb42fs3y6c,True
tiffanylllll.bsky.social,,did:plc:zzleoodbmha7htad6sq6eh3d,True
0anna.bsky.social,Anna,did:plc:hqnugygyuyslwy5j23qajmer,True
diamond-fury.bsky.social,💎 Diamond,did:plc:r4soyuz7perdwrdv3k2jzhix,True
onelovevegan5.bsky.social,Lovevegan,did:plc:r4dbt7timfbildzxg7tekzwg,True
robertoig7.bsky.social,,did:plc:zl56xxdkjybnso5ps66n66fb,True
erinbrown.bsky.social,Erin Brown,did:plc:yy75ienp6deq7e5ohpkteugk,True
gio93mo.bsky.social,Gio Mo,did:plc:ano4wofems7ysttlacdkp3is,True
angiecoiro.bsky.social,Angie Coiro,did:plc:trdh5vfr662j4jec5mvnoosz,True
1987xinli.bsky.social,Lee,did:plc:nvdl4whxrrwcwneohcbh43jv,True
atlsarah.bsky.social,sarah wilcox,did:plc:r5lgrcripemsqzjtvghxicey,True
deluxurymusic.bsky.social,ＤＥＬＵＸＵＲＹ,did:plc:ui4zfwi7xft2ygajeji2tlrl,True
hurpasaport.bsky.social,Hür Pasaport,did:plc:viuql6vldhna47b3li7y35z6,True
charleswjacksonjr.bsky.social,,did:plc:324sf4tx34eumgjh433hy7ac,True
umarqureshi96.bsky.social,Umar qureshi 96,did:plc:otaotx36j5ci5hbarbrfz25m,True
marissablscamp.bsky.social,,did:plc:tkdjitvlgwqchhvqxbg7rav6,True
28q.bsky.social,,did:plc:vk65qq6grvdcomwk473rzx2y,True
youmakemonet.bsky.social,Hanna  Meyers  💙,did:plc:dsfq63dyvsvuxd4l5fczm6jo,True
theasinclair.bsky.social,Thea Sinclair ,did:plc:36sn377gnr23i7dnsv43gixz,True
marcussolonius07.bsky.social,,did:plc:2hdhtjost6tu7ev3jcmwzcur,True
dirty69r.bsky.social,dirty69r✨,did:plc:fe7gm7ovihjw2e7j2ifh67u7,True
sanowarhossen.bsky.social,Sanowar Hossen,did:plc:l2ew22jz4abwh7ymsfrtfpom,True
jackrusselldog.bsky.social,Jack Russell Terrier,did:plc:7mv5tzh7npbwvmahtgmgpym4,True
davejohson212.bsky.social,,did:plc:6tksp55luugmkwhivfkcv4tx,True
avenuestarofficial.bsky.social,Avenue Star Official,did:plc:rxkleblzggayqxvvhktoejff,True
illuminati324.bsky.social,illuminati Organisation,did:plc:pbtb3mxztb7db76kvqj3pkgz,True
badanalysis.bsky.social,badanalysis,did:plc:4wvhaffogd5fr76nuu3bvroz,True
evelynntaylor.bsky.social,Evelyn Taylor,did:plc:xzjgclsm4gvz2355u2tbt2gu,True
vet1776.bsky.social,Veteran Family,did:plc:gr6lmrnmac6beh63nfvtldre,True
nicholehiltz.bsky.social,Nichole Hiltz,did:plc:umkdmppnmbfkz65p3xdwxyjc,True
nahid007.bsky.social,Nahid Khan🇧🇩,did:plc:7gpuz755ze4aqmwiuhh5u7vl,True
eroticsally.bsky.social,Sally Franklin,did:plc:istxp73njgbgqngwprqtekup,True
docworldmedia.bsky.social,Bluesky Updates,did:plc:fifqiftpj3oxjvkftc4as3ua,True
topaz76.bsky.social,@Topaz76,did:plc:lykno5sbo7xdyxh2phje7lw4,True
southoftheborder.bsky.social,DAN,did:plc:ojrvdrahht7pabuau2u6uwey,True
witcheshut.bsky.social,NGaines,did:plc:ouodjjllsdjdc3vm4nmemis7,True
davidleavitt.bsky.social,David Leavitt,did:plc:a6g23vezflvebvmaqngfwcmn,True
supremebeingness.bsky.social,Supreme BeingNess ,did:plc:rhtbnhic6bxznggmsrbvjuuw,True
saqib09.bsky.social,S,did:plc:qtdemkawy5fn4r5r45nuloh3,True
motherfer.bsky.social,Kelly,did:plc:f72ityxj72y7rck4tp3ifyge,True
daniellelam93736.bsky.social,Danielle Lam,did:plc:fonwjcxaeyga7o5sd5qmsjhn,True
jojoismyname.bsky.social,Joanna Owen,did:plc:p6rklrd4w7subnnrll3ucash,True
justaguy1975.bsky.social,Just-a-guy 1975🏳️‍🌈,did:plc:tw4qgfggthemccx655tpcklf,True
truebuddhism.bsky.social,John Charles Harman,did:plc:2xmyvvah336otkoum3awqxgp,True
jose101.bsky.social,,did:plc:gwa2euqidzqlhehrbkw7bsbk,True
judithbolyard.bsky.social,,did:plc:iokqyt73vzoa4f3mboyyf7go,True
shirley1209.bsky.social,Shirley Smith,did:plc:fmoy2ztwczngcdjgckzmsgwp,True
brityoung.bsky.social,Brittany Young,did:plc:6bsvmbywzig6l2o7pi2g2a5d,True
victoriaann234.bsky.social,Victoria Ann,did:plc:xm3crdamnhr7swofrnmh2hfn,True
artlasdraws.bsky.social,L.A. Michael,did:plc:npqwsu6gkl3wkjuhkvsnntsq,True
1ditorial.bsky.social,1ditorial,did:plc:dasuudoiilrkoc3ujk7or6w3,True
