Handle,Display Name,DID,Follows Me
anet950.bsky.social,Anet950 🔸,did:plc:frxks3kzdkx2lherl3lfxn4x,True
interist222.bsky.social,,did:plc:dicw53ng34dhhgnulpbwrle5,False
vtgal.bsky.social,Joanne in Boston,did:plc:xg4z7kdwqbohlwla36ijarw6,False
cderouen.bsky.social,Christopher 🔵 🏳️‍🌈,did:plc:xrsv7fsbam5cvqyh4mb2ir2y,False
jamesond23.bsky.social,Jameson 🌊,did:plc:lbpz35jdqpsamgg74mtzt3uv,True
heidi-hoo.bsky.social,Tiniest Who in Whoville,did:plc:5gsmmmza7nraasaqm5wt3j2o,True
lesleyo70.bsky.social,,did:plc:slb5s6juw4k5nflvprdlln4u,True
bruce222.bsky.social,bruce222,did:plc:bvcyj5nmf4cmnw7dw7umkpcq,True
trinifromli.bsky.social,Trini From LI,did:plc:vjukmgq33k2tipwoeuqcozu2,True
waterwader.bsky.social,,did:plc:v74zfmkaj3mpzfdy5oipcvxl,True
suppleml67.bsky.social,MLSupple,did:plc:z3lil7hj3jloch4r3owljui5,True
doc87.bsky.social,Doc,did:plc:5cwufjpqfyvtgcyhqkxxjgip,True
oscarbob.bsky.social,Bob Meyer,did:plc:6dz7gwyztcaezfizo2gdekkf,True
sensguy.bsky.social,,did:plc:yms4h5jfxawg5yojumf5i346,True
deanamb.bsky.social,Deana Boyd,did:plc:6gr5uxenekbulkthg3n6bgve,True
readingevermore.bsky.social,Kerri (Taylor's Version),did:plc:olkgiey7rcvlzrkw6ot3idmi,False
marpausag.bsky.social,,did:plc:auvisi3mvpdqguv3gq6txx3y,False
aejmn1969.bsky.social,AEJMN1969,did:plc:dj2lgbvcgc7mvlyapw7trupl,True
4-freedom.bsky.social,Marceea🦋🌿🌲🌏🌺💙,did:plc:mne7vetkfvcnfq6l26s53l5x,True
ericaskolte.bsky.social,Erica Skolte,did:plc:fsnwpyok37dxuygogurg6aw4,True
purplewitch11.bsky.social,Purplewitch11,did:plc:v4tgbvpifv374wvrxt3llopx,True
ejwb24.bsky.social,Jane🌼To Thine Own Self Be True,did:plc:tujcykbdjvxmuced4hzjniye,True
leyates.bsky.social,leyates,did:plc:mvnide5g4sshxjig4bwindaq,False
democracybitch.bsky.social,Susan 🇨🇦💙🇺🇸🐕🐈‍⬛,did:plc:i6w34khevjkq2cva26klchij,False
julesgo.bsky.social,Jules Go,did:plc:xkx5fdid6qbd2wyfue4dhufq,False
spikethewonderdog.bsky.social,,did:plc:qbdwob5qgb34jbkrawq4jodw,False
yesrising.bsky.social,Richard Silvia,did:plc:jraa32xocvhh3earyog63h7q,False
mandymanilow.bsky.social,Mandy,did:plc:rhoebfc4w2wgn4jv7tid3t5c,False
callmsimon.bsky.social,,did:plc:ottp62oni675hqheinyhrp7g,False
reazor.bsky.social,Christine Rea,did:plc:u3en2x72jqk2xpiwg53xvvcu,False
tqpdx.bsky.social,Triciaquinn,did:plc:i3dymy7nxuoxmrd2657htmky,False
bluedotok.bsky.social,Donna,did:plc:5m4wmag3hya44syxlwbrqrsa,False
sallysmiles311.bsky.social,Sarah Sally,did:plc:haqg22wgzbfqgabu7gfftluq,False
sasquatch4411.bsky.social,"Joshua Heitzmann, Ph.D.",did:plc:jjyl6trtnuyc4gyrvol2v76x,False
jasonllevin.bsky.social,Jason Levin,did:plc:2mgcp6fjgbavh7lm54q37dfm,False
mary-quitecontrary.bsky.social,Mary.Mary Quite Contrary,did:plc:s2ifwquk755sajogkjswx5kk,False
georgewachsmuth.bsky.social,George Wachsmuth,did:plc:vaeh24tpryulni3ir6yzi6iq,False
oldladyrunning.bsky.social,Hendy,did:plc:5auxfdzbradux2t2bl546e57,False
thesgtjoker.bsky.social,The Sgt Joker,did:plc:sgp3kpycgognnkzg7jxhfzrp,False
samiamnurnot.bsky.social,✨Sabrina In The Mitten State✨,did:plc:hlxj7knhcnbhyocouwokvrdw,False
kennedykamila.bsky.social,,did:plc:swtfq3hgcq5aa5xepoqynboz,False
jennyelevan.bsky.social,JennyElevan,did:plc:gu5nzw4gfrzcorvr6igj7wl6,False
jjenksmiller.bsky.social,Jjenksmiller,did:plc:slb3v53v6vvsr4qieq6gbf5s,False
furrymleo.bsky.social,Leo,did:plc:nnnid6htdbat24os7463qibq,False
imsirius.bsky.social,🇨🇦Im Sirius🇨🇦,did:plc:firziwexnf2fsxcntskmanib,False
landessarjes.bsky.social,Old Lady Cindy,did:plc:zplji2woryo2ufv2yl2w5l3v,False
marikosegawa.bsky.social,,did:plc:7g45vnudjfphlrlqijthievv,False
dlmcmichael.bsky.social,Dawn Mcmichael,did:plc:qedymfudmqtb4g5wc6s5sikj,False
dwayne0208.bsky.social,Dwayne G.,did:plc:hs5pv3mdxja6oodmihpp3yam,False
