Handle,Display Name,DID,Follows Me
nathanschelltv.bsky.social,🦋Nathan Schell 🍁,did:plc:jvdv2xed2bncg6nfbmykpjdc,True
mattdos205.bsky.social,Matt Dos,did:plc:2twf5f2cohglikp6evt5w3gb,True
lesleylc.bsky.social,Lesley,did:plc:yu2mb2mrzmcngkvf2eqhmemv,False
chiplover.bsky.social,Chiplover,did:plc:bglyy35rzctederya5uhwd4c,False
undelulu.bsky.social,Undelulu12,did:plc:japmlvpv64lzj6yg7cegqfjl,True
goodtroublegirl.bsky.social,HereForGoodTrouble,did:plc:3o2rwi5vrkiuaplekmtvqyzz,True
crwillner.bsky.social,crwillner,did:plc:avbu5zbdddznvmz7yirercys,True
bravomektek.bsky.social,Bravomektek,did:plc:qhwv75dsv6ykpa746hnylt7z,True
lissenden.bsky.social,Kiersten Carlson,did:plc:pynxxmpzubao6aviym7m7p5c,False
dt-yoshi.bsky.social,Don Yoshida,did:plc:i6bwnujhjcsqk7auszepogt6,False
jdkahler.bsky.social,JDKahler,did:plc:a4mruem4f2ipbmmk6lwm5dn5,False
rhondadum.bsky.social,Rhonda D,did:plc:lzlst273otb7t6jt4md6kof2,False
elizamac22.bsky.social,elizamac,did:plc:eqjj56j4o5btk4nab2qdhb7i,False
okieblue.bsky.social,Linda Spaulding,did:plc:jc5qmyg6k37jzbmyw6adx576,False
bustydriver.bsky.social,⭐️Bustydriver⭐️  9$   Onlyfans.com/bustydriver,did:plc:7i2agd656aqw3uy27ldc5nlf,False
clarabow2.bsky.social,,did:plc:fbtybdjdyfkfprqlanyb3azk,False
ok.onna.bike,Another Mike,did:plc:qzfasbl2bjorbahmrvtvfaqs,False
flowingfire.bsky.social,FlowingFire,did:plc:oml3ytrbycbqi3drmhngbtjv,True
grannakerri.bsky.social,,did:plc:d2gvsic43yndravwrlhrvtj3,False
humanfolly.bsky.social,,did:plc:l6jj3qhxe25jdvhn6p5ebhdw,False
frinkhutz.bsky.social,Brandon Harlan,did:plc:f2sqpqkydrtxs2qci7ffmjbm,True
darklorddemus.bsky.social,໓คrk主໓ē๓นŞ♥️🤍💙💛💜🧡🖤🌏☮=🆓️🇺🇦,did:plc:boy4q5zma7ljon3f5iik7sic,True
jptahoe.bsky.social,,did:plc:inljoyjxthkgdria3gpmezwz,False
lindseynwichita.bsky.social,LindseyNWichita,did:plc:4z4xvtckmedm53sl2rqwawsg,True
algebrafrombith.bsky.social,Algebra Works,did:plc:trvyotjoo2gxopba2vnz2ckc,True
aneke60.bsky.social,,did:plc:qjnwyc2l3miwsnbbcr7r5mrf,False
myles5455.bsky.social,Myles 🏳️‍🌈,did:plc:o2wzrwikhjkmxtwt5pjnh5ua,True
hollydayz24.bsky.social,Penn,did:plc:fem75k76cxnjjdzlczsf56dg,False
thomasgiardino.bsky.social,Tom Garden,did:plc:lbczqsjhdnu6dritvjukb3mp,False
alam11.bsky.social,ALAM11,did:plc:ncgvebusn4fb4fqvfwbxp76h,False
tomzombie.bsky.social,Thomas,did:plc:s6crr7b4su6jtugth3ngrb3w,True
zofo032.bsky.social,Zofo,did:plc:jejhntqkxgtykntt4faa6lcn,True
freepeeper.bsky.social,,did:plc:lanl7fwla4xowi45webowtsa,False
patomasso4.bsky.social,PTomasso,did:plc:xkhamlvekde5la24cu262yec,True
thornus.swifties.social,Thornus Animator,did:plc:y6lkpvvzqdhfdbm2sqdm5zf3,True
satan.social,Satan.social,did:plc:uz7ywbg72abioapx2limroyr,False
bdelirious.bsky.social,bdelirious on Twitter; #Leguminati,did:plc:dmz4v56lfkbjgh5yniqa3ykl,True
el-raul.bsky.social,Khosro Raúl Soleimani (he/him),did:plc:ko4ckdsaeuzrjkzurmn76atb,False
peaceseeker27.bsky.social,SoozieQ,did:plc:peq4o3hbcsbbpq7ib33krff6,True
drandreaj.bsky.social,THEE Doctora Jones,did:plc:v2zv22krpy3bjdj63m7edx4o,True
deborahbuck.bsky.social,Deborah Buck,did:plc:okm63gi7fxyr3id2bvwqfkih,True
expletivedeleted.bsky.social,Dave,did:plc:37o4oczi7kja6bsutbno3mcd,True
tinkertalley.bsky.social,Greg T,did:plc:oy4iuaq44josnlbem3ux6alp,False
crosswised.bsky.social,,did:plc:a6vegh6uwoychpdtpu4jvdz3,False
thomaspainesghost.bsky.social,Owl Capone,did:plc:uwk5gqda5s5t425jtktzssmy,True
sl81.bsky.social,,did:plc:sirsltkkcrsui37pk54smwh3,False
defence-blog.com,Defence Blog,did:plc:fkjvjrei3pr5u6rhcqsn77e3,False
bhumikatharoor.bsky.social,Bhumika Tharoor,did:plc:d6twkql2szuwngwb4c7tisp7,False
slaskow.bsky.social,Sarah Laskow,did:plc:tunl3s2r2dmnzgedcdifarfd,False
lilashroff.bsky.social,,did:plc:4pmwedjzshoyjx263x45ehde,False
sophiegilbert.bsky.social,Sophie Gilbert,did:plc:mtm2mybmilsty4oxk3rzwdpj,False
legsfrank.bsky.social,allegra frank,did:plc:nxjmjs3b5bn5zleyutgeyjqr,False
katherinehu.bsky.social,katherine hu,did:plc:aherzeoh3o33y7yatws3s4dx,False
chrisbeam.bsky.social,Chris Beam,did:plc:juz7w4e6x2k7zwpusrxuw2bp,False
ibogost.bsky.social,Ian Bogost,did:plc:znetc2lmsdhjm3mucjluttj5,False
matteowong.bsky.social,Matteo Wong,did:plc:5tq7poynbdl3zaeazyfdtu67,False
jenduende.bsky.social,jenduende,did:plc:2cvpomrtzdzd6vhc6sda6iwu,False
jennifersenior.bsky.social,Jennifer Senior,did:plc:lkrexoxfcjsl2cmljydekfcj,False
hana-kiros.bsky.social,Hana Kiros,did:plc:snh27hmiil3pnct6rwf7y3am,False
marystachyra.bsky.social,Mary Stachyra Lopez,did:plc:hw7cxqziwdvu7kyehdiuv5im,False
stossel.bsky.social,Scott Stossel,did:plc:gsiedp2qtc3g2iaefiadigd5,False
katecray.bsky.social,,did:plc:347tydwqslrskponwdvvv46i,False
kristenvbrown.bsky.social,Kristen V. Brown,did:plc:5xd4ip4p6ldt6q3aevmzr6sh,False
elainegodfrey.bsky.social,Elaine Godfrey,did:plc:ywixpoj6hi3kprstry5p3hzh,False
danteramos.bsky.social,Dante Ramos,did:plc:t3nvopq3rlzcplzzped6u5em,False
chatterton.bsky.social,Thomas Chatterton Williams,did:plc:ciswabq2ovnp4tzzu57q2x2e,False
annielowrey.bsky.social,Annie Lowrey,did:plc:evg3hzml7mdlma2kjmjsbejj,False
marinakoren.bsky.social,Marina Koren,did:plc:svdw2gblxo5c2xta64lzyjka,False
skornhaber.bsky.social,Spencer Kornhaber,did:plc:hc3uv4fbcsiaztnntlvnotwk,False
andrewaoyama.bsky.social,Andrew Aoyama,did:plc:notb7vetbtbjrfy7nf5edwyo,False
aminakilpatrick.bsky.social,,did:plc:bqolpai7zi6p4kzc3wle7euo,False
shirklesxp.bsky.social,Shirley Li,did:plc:4rk252wojuszpufbycy4jf7v,False
johnhendrickson.bsky.social,John Hendrickson,did:plc:smwduuoirvwdkmmbn7ujhtq5,False
mckaycoppins.bsky.social,McKay Coppins,did:plc:l7egqozmchudjc45gvjm5kdg,False
galbeckerman.bsky.social,Gal Beckerman,did:plc:zhotk4fmjc4affogsg2wyzbu,False
cwarzel.bsky.social,Charlie Warzel,did:plc:qnd2lqn52ernybdfonq4mc43,False
yair-rosenberg.bsky.social,Yair Rosenberg,did:plc:h55xdeboyjtatdos2hbgdzpf,False
dlb.bsky.social,Damon Beres,did:plc:jxtnw3qiuq4wtx7sggjbbvi3,False
sarahzhang.bsky.social,Sarah Zhang,did:plc:wrwxpghtfwx56ukjma2eymo5,False
evanmcmurry.bsky.social,Evan McMurry,did:plc:pmzxw77fwfa56xrn7un6muy5,False
dgraham.bsky.social,David A. Graham,did:plc:kiyv7vxcplepqxft4d6qd6zt,False
shaneharris.bsky.social,Shane Harris,did:plc:xs4iamrezoc5q7p5ei6lrgnn,False
zoeschlanger.bsky.social,Zoë Schlanger,did:plc:lun2uz5qzwzklxzud4myihvs,False
jeremygordon.bsky.social,Jeremy Gordon,did:plc:ydxwwmo2mx3mh7urcatqqajx,False
willgordon.bsky.social,Will Gordon,did:plc:l7noxvumti3zsgj7qsr5gc5q,False
