Handle,Display Name,DID,Follows Me
ottaviomcmlxi.bsky.social,Otto M,did:plc:rm6buw56d3xzwfpp3ddnjyzc,False
mrsbeasley.bsky.social,Mrs.Beasley 🇨🇦🇺🇸,did:plc:lj46hsn5qbwrfa2v7tiildxm,False
democracyhere.bsky.social,@DemocracyHere,did:plc:6wrn7zf476yxuw7v7bvfquvh,False
carlosescondido.bsky.social,Carlos Escondido,did:plc:4f3gxgfq42zjbxezv2xt27uc,False
awiryfife.bsky.social,,did:plc:wm4xtjhwcgl5v5y2zku4vzza,False
awe-hell-naw.bsky.social,,did:plc:a7jjkebb6u2pki33ncvzsxm6,False
ghcgrain.bsky.social,Ghcgrain,did:plc:bq4abmf5fv45ncjbe4mdztt6,False
angelaevans.bsky.social,,did:plc:n6grkvgrdgw2ds5662a7qtac,False
phaqtrmp.bsky.social,Jay J,did:plc:aroza2vg4a6ati7oz3r5vf75,False
jcog7.bsky.social,Jcog,did:plc:zdxlxze4adqkqhr4grr2kfpw,False
nancybern18.bsky.social,,did:plc:i752uip3muchnwvvffhezvik,False
susan0230.bsky.social,Susan,did:plc:qixvek35nvd6cs6zra5ewvkd,False
kelcatwino.bsky.social,Kelcatwino 🐈‍⬛☮️,did:plc:t5y537myggzu6nungd6ducnv,False
freakonaleash23.bsky.social,Kat,did:plc:duqwqu43bcygsty43t4jbaeg,False
liselisec.bsky.social,I Will NEVER believe he didn’t cheat,did:plc:gk27mwagv3z625h7y3b26vjb,False
stephen3678.bsky.social,Stephen,did:plc:i4sydpqg5ebotogoljz5cbgn,False
china-desade.bsky.social,China DeSade,did:plc:ngtuyfyzg2kx677g2u6mrek5,False
peglegmitch.bsky.social,PegLeg Mitch,did:plc:t3s6dfk5ubksrxyfkrjdhpnc,False
berkeleychicano.bsky.social,Berkeley Chicano,did:plc:zwv2ovfbehylmllsxbprgdyl,False
fredfleisher.bsky.social,Fred Fleisher,did:plc:ok4t3hk7dj3mucddb5z7ejg5,False
poss1.bsky.social,Poss,did:plc:yrjlwaaumkdubu6q37ouitbm,False
ctdogmomintx.bsky.social,,did:plc:gwv2llksg2l4va7em3oxfvp6,False
deknee.bsky.social,Denee K,did:plc:3kdtb4ikwdowc2nwop66lgbw,False
desertstarfairy.bsky.social,JanBee🐝🦋,did:plc:xkslyvrsgsmwu2x55i4il7nz,False
marcyjwalsh.bsky.social,Marcy Walsh,did:plc:gsxtgerx2e5ocp3372ez5bhy,False
dermotmullan.bsky.social,,did:plc:47whkyx3xwtrzup4f4gxvkcy,False
limreeesh.bsky.social,M. Reese,did:plc:bvoe22nhdd7idzpcxl7sy6jy,False
boldnewme.bsky.social,Bold New Me 🫘,did:plc:fm75wz3ekp6bzoqgzjkn5syg,False
saverdemocrazy.bsky.social,Sandy N95 Masked & Covid Vaxxed Democracy Lover,did:plc:5smofeebkwkdhtlqowppadfn,False
jerrettsnyder.bsky.social,Jerrett Snyder🇺🇸🇺🇦,did:plc:ubtfdl3wpdcny7jli56fcmkg,False
mgtsocal.bsky.social,Michael,did:plc:wnrbucqudvars5zjofyswlaf,False
pozvibes4u.bsky.social,,did:plc:5e7ulrvzrobl5mb2f6msbx2m,False
taviscago.bsky.social,Taviscago,did:plc:3fm46mxypt7rty7a6co6ec6y,False
elsiespeaksit.bsky.social,Elsie Speaks It,did:plc:kwy6idaveidbwmhudum5ghbn,False
marlyr.bsky.social,MarleneR,did:plc:rk6bsenmc3kcpe3cc4jvzi27,False
frankcastl3.bsky.social,Frank Castle,did:plc:otcbhx4qtzk22atl6mbucfgc,False
wundae.bsky.social,Ich suis Wundae El Siguiente,did:plc:skntnu4udj5xq7mcoujidbyi,False
1scornedwoman.bsky.social,Scornedwoman,did:plc:4bnzomutlnxaazjhdequlqj4,False
erroneousskunk.bsky.social,Erroneous Skunk,did:plc:vepsnc2cd2iwr3xlxyxdjj2c,False
grandmainfl.bsky.social,Abby in S. Florida,did:plc:oi5gcfpt3tpfzqepi6oeluhf,False
dvinemissd.bsky.social,Dvinemissd,did:plc:veg5gnlwra7rmvri42ob7jl6,False
stevebc.bsky.social,Steve Erickson,did:plc:5wzqejvxvgeniiszadmmb2yf,False
chuckieb111.bsky.social,ChuckieB,did:plc:da3zhpijrv6i5gtbga2nr5qt,False
liztopia.bsky.social,Liztopia ✨ 5D Rising,did:plc:iclhp5l64mfcuawb7idlbe7x,False
airbeck16.bsky.social,Aaron Becker,did:plc:obrc5bgvp6fdji23o5fvnalj,False
sprywit.bsky.social,SpryWit,did:plc:rtm4ifkkxump7tjq7dwqr24b,False
freddiefan2.bsky.social,Freddie Fan,did:plc:7mhdtk6ariuek73bwb66gpyp,False
milemarker0.bsky.social,Lorenzo,did:plc:yndervm6jx7pwdcj3rjc66la,False
jonjon71.bsky.social,,did:plc:zwqn2sy6ighkkheu36mz46bk,False
elledubya.bsky.social,Elle Dubya,did:plc:cs5q27ivr6ydchwdpgwrvsxa,False
jesuismoi.bsky.social,Lakneev,did:plc:22mmhf46tc6zxys7uibexgif,False
es59531.bsky.social,Anita🪴,did:plc:gfrp2fa3xam437vd36tqpt4k,False
tamsbs.bsky.social,Ƭαოα૨α'ʂ Ɓꕷ,did:plc:b6npqlprbh6itl7wievtqhdp,False
nanettejean.bsky.social,Nan 💙🌊🦋🪷,did:plc:3za4prygxzj646vodlbmzue5,False
josephpompeo.bsky.social,,did:plc:zqrmqbjfubuz3emfx36dacjg,False
doctorbill.bsky.social,DoctorBill,did:plc:7wsxlbnvk2ovqimsx7co3ndz,False
trueginger.bsky.social,,did:plc:aami5m6e6p7oabs4kfad6e4g,False
gwoman9810.bsky.social,Martha9810,did:plc:pagjz2eihykhzlvucrwhxkex,False
nonnadonna20.bsky.social,,did:plc:ubiqrubl2lnq6qdjguc44fcl,False
cstrandberg.bsky.social,Charise Strandberg ,did:plc:gdr5xvu5efsqhv4oefgzmqpp,False
lfh777.bsky.social,Linda,did:plc:i6e7kkv2xv6ywawcknvrrvp7,False
dcatty.bsky.social,Dcat,did:plc:qngulrm3ejigkdmq3ctlnvk2,False
dcazely.bsky.social,Give me #UBI and #RCV,did:plc:bxxv3ppjb6h4jnsalk7yjk24,False
ragemichelle.bsky.social,,did:plc:xl5en5k4pu6tawu2po6kzj5i,False
c-anderson.bsky.social,Charles Anderson,did:plc:jsdwxidesj6syq4hliqyeuco,False
taranico.bsky.social,Michelle,did:plc:5dbzrwcgojgdywt6nhwg5fqo,False
curiouswoodworker.bsky.social,Curious Woodworker,did:plc:5fq4yjdk735rs2nst2ubw4iz,False
dyxe.bsky.social,Dyxe,did:plc:c57gebaeql27fiym5quxcadu,False
klp1.bsky.social,KP,did:plc:3g5rzlt26sqbguhfghkjmget,False
mk-indy.bsky.social,🇺🇸𝕀𝕟𝕕𝕪 ℝ𝕖𝕗𝕦𝕘𝕖𝕖🇺🇸,did:plc:iawnahlnh6ofio5y267jcppt,False
planetjericho.bsky.social,JERiCHO,did:plc:2ch2kdzrgnatjumvrrxp2sgz,False
larsed93.bsky.social,LORENZO24 ,did:plc:wtkyonqio6p6rcmdb6jbbzbi,False
rjflamingo.bsky.social,RJFlamingo,did:plc:tffqihmbqmld565qrmyasvil,False
itsmaryb.bsky.social,ImMaryB,did:plc:yyoglmsr7jddzaxbeblgyhpo,False
misterb20.bsky.social,MisterB20,did:plc:7dixcpohfgxw3yqg7uc3ar37,False
uobrims.bsky.social,Wingsfan99 ,did:plc:lu63kpqelwegpuiycq6hljbl,False
anthropocenempg.bsky.social,AnthropoceneMPG ,did:plc:7n7znabooyvzfitz6me37hau,False
grambo1.bsky.social,Grambo,did:plc:dn46vwpspuhlcvicp2ibvbh2,False
brayzgirl.bsky.social,Kathy,did:plc:ktm6gbik7hlq5cfmkm4uu2su,False
brisbanemum67.bsky.social,Wombat,did:plc:o4xq7r5pihpxyluuwqzaqdho,False
nvrnufstf.bsky.social,,did:plc:ekmxu3hcf3wgnypr45fxstsk,False
jrlanglois347.bsky.social,,did:plc:nlkhn3zpoyvku5cmbr4vzbzw,False
blake-greendeb333.bsky.social,BLAKE-greendeb333,did:plc:wl2vozennzm5hsfpsk2ispf2,False
mikeostberg.bsky.social,Mike Ostberg,did:plc:uzynv52jhvfw7nbhsh3e4unf,False
theunicorn999.bsky.social,TheUnicorn999,did:plc:oadnckfl4j5lwnug5kkhsieg,False
jojo9975.bsky.social,Jojo ,did:plc:reoxpgmiioqm6o2a44poome4,False
stparadise.bsky.social,StParadise,did:plc:emhbonylvi7nztlbl5upkze7,False
nameisdebbie.bsky.social,Nameisdebbie,did:plc:fdj3dhvyffwz74grtxcj4hoc,False
schreibs1.bsky.social,Mary Schreiber,did:plc:3m4biay4prpl7c2lkmhgqtay,False
notoztexas.bsky.social,Dirges in the Dark 💙,did:plc:76xon3pg4uc6qvbqga2tx6cx,False
traviswilkins.bsky.social,Travis Wilkins,did:plc:lusna52hv56rpnty5asltcz2,False
littlebit13.bsky.social,Debbie Skinner,did:plc:uhi3ekjk6r55cgmbseuaxhg3,False
jestjoan.bsky.social,Joan,did:plc:klcl5qleimdtl5scedea7kmb,False
andirhodes.bsky.social,AndiRhodes,did:plc:3twlb4qq6v6bldfcbpgfawx4,False
demdeanna.bsky.social,Deanna,did:plc:s5ldhxfpylrddxmc6n4gjaan,False
brendaabramson.bsky.social,,did:plc:l4a4d7e3jvnpaldji2at556c,False
sidor1.bsky.social,,did:plc:2cvuiz6u4za3fxj7ni3s4zni,False
howieschomer.bsky.social,,did:plc:gdtzo3yrqckcuvz4smoswiwn,False
floridamomof2.bsky.social,,did:plc:elztsixarz7cn2l3cnlhivrl,False
tarahd.bsky.social,,did:plc:hveycqxj2dz4iysfbne2veh2,False
nurseerica2.bsky.social,Erica Byrd,did:plc:5n2pf5cqkbnin5aszxqfqjku,False
derricklwilson.bsky.social,Maggie’s son 💕,did:plc:esqkelvo5dhnwdpafwmhkeox,False
mavericks-07.bsky.social,M-A❤️🕷️.,did:plc:ce7oazeofkoig6f35kukrpss,False
festushagan.bsky.social,Festus Hagan,did:plc:xko5lxiyogg47gbjori47qsc,False
gatecrasher11.bsky.social,Debbie Downer,did:plc:w3s56wemq6alhgdal6kmr3ms,False
hockleycliberal.bsky.social,AuntTifa,did:plc:q2rsuzdmpslekglwgnec7vi5,False
tothenines9.bsky.social,Diana💫,did:plc:nywbr7oljhuyuz7hz2q3csv4,False
freedomfighter.bsky.social,Churchill,did:plc:37lsimbiowjsqjotbsbgazpz,False
lionheart6407.bsky.social,Stephen,did:plc:x7f6zi3hmklgpn7hd234ksol,False
magpiemaudgonne.bsky.social, Magpie 💯,did:plc:sik6e5rgpazruumarusbethc,False
oldcorvus.bsky.social,Old Corvus,did:plc:t3zcvoo2aeoa3csx6subl4kk,False
byemusk.bsky.social,Uncle Ronnie,did:plc:eofyffombqs2vibes3tkxemq,False
markitdown.bsky.social,MarkItDown,did:plc:zlyj6claukqthx3jfnwfbiu3,False
scarletsusieq.bsky.social,Scarletsusieq,did:plc:4nlr3wnc4muwugokkc2h3ukk,False
